,New Case/s (Suspected),New Case/s (Probable),New case/s (confirmed) ,Total suspected cases,Total probable cases,Total confirmed cases,Total Number of Confirmed Cases of Sierra Leonean Nationality,Total Number of Confirmed Cases of Guinean Nationality,"Cumulative (confirmed, probable, suspected) cases"
National,28,37,19,425,696,342,13,1,1463
Bomi County,0,0,0,1,24,21,0,0,46
Bong County,4,2,0,76,32,20,0,0,128
Gbarpolu County,0,0,0,0,0,0,0,0,0
Grand Bassa,0,1,0,7,2,7,0,0,16
Grand Cape Mount,0,0,0,1,3,4,2,0,8
Grand Gedeh,0,0,0,2,0,0,0,0,2
Grand Kru,0,0,0,0,0,0,0,0,0
Lofa County,0,15,16,63,305,189,11,0,557
Margibi County,9,10,0,98,58,27,0,0,183
Maryland County,0,0,0,0,0,0,0,0,0
Montserrado County,14,8,0,156,227,44,0,1,427
Nimba County,1,1,3,15,45,28,0,0,88
River Gee County,0,0,0,5,0,0,0,0,5
RiverCess County,0,0,0,0,0,1,0,0,1
Sinoe County,0,0,0,1,0,1,0,0,2
